№ пп,Тип     ,Описание                                                                                    ,Ед. изм.,Количество
1   ,Работа  ,"Рытье котлована с вывозом грунта до 15 км (3582,17 м3 прошли по Дог №121-АГ10 от 03.07.18)",м3      ,"444,83"
2   ,Работа  ,Ручная доработка грунта                                                                     ,м3      ,"298,58"
3   ,Работа  ,Обратная засыпка спуска в котлован местным грунтом с послойным уплотнением                  ,м3      ,"202,63"
4   ,Работа  ,Обратная засыпка пазух с послойным уплотнением песком                                       ,м3      ,"735,66"
5   ,Работа  ,НР+СП от дог.по подготовке территории с по Дог №121-АГ10 от 03.07.18)                       ,шт      ,1
6   ,Работа  ,"Лидерное бурение  (43,2 м прошли по Дог №121-АГ10 от 03.07.18)"                            ,м       ,112
7   ,Работа  ,Забивка свай  (54 м прошли по Дог №121-АГ10 от 03.07.18)                                    ,м       ,140
8   ,Материал,Сваи железобетонные с 110.35-8-F100-W8-B25 (6 шт прошли по Дог №121-АГ10 от 03.07.18)       ,шт      ,8
9   ,Материал,Сваи железобетонные с 100.35-8-F100-W8-B25                                                  ,шт      ,4
10  ,Работа  ,Лидерное бурение 80% длины сваи                                                             ,м       ,"2851,2"
11  ,Работа  ,Вдавливание свай // согласно подписанного дог. скан прикреплен                              ,м       ,3564
12  ,Материал,Сваи железобетонные с 90.35-8-F100-W8-B30 (невозможно произвести W8 из В25)                 ,шт      ,396
13  ,Работа  ,Вырубка свай (по Дог №121-АГ10 от 03.07.18 срубки не было)                                  ,шт      ,414
14  ,Работа  ,Устройство основания из уплотненного грунта под ростверк 150мм                              ,м3      ,"121,92"
15  ,Работа  ,Устройство бетонной подготовки                                                              ,м3      ,"78,56"
16  ,Материал,"Бетон В7,5"                                                                                ,м3      ,"79,74"
17  ,Работа  ,"Устройство монолитных конструкций (фундаментная плита) в т.ч.работа, опалубка"             ,м3      ,"812,82"
18  ,Материал,Расходный материал                                                                          ,м3      ,"812,82"
19  ,Материал,"Бетон В25 F100,W6 с Автобетононасосом"                                                     ,м3      ,"825,01"
20  ,Материал,арматура  ф12мм А500 С                                                                      ,тн      ,"2,15"
21  ,Материал,арматура  ф16мм А500 С                                                                      ,тн      ,"38,25"
22  ,Материал,арматура  ф20мм А500 С                                                                      ,тн      ,"2,78"
23  ,Материал,арматура  ф25мм А500 С                                                                      ,тн      ,"4,73"
24  ,Материал,арматура  ф28мм А500 С                                                                      ,тн      ,"0,88"
25  ,Материал,арматура  ф32мм А500 С                                                                      ,тн      ,"2,47"
26  ,Материал,Зимняя добавка                                                                              ,м3      ,"825,01"
